,date_time,course,how did you hear about county college of morris? [ccm web site],ccm_social_media,ccm_community_event,ccm_family_friend,ccm_current_student,ccm_alumni,ccm_hs_teacher,ccm_hs_counselor,ccm_in-app_ad,ccm_employer,ccm_billboard,ccm_television,ccm_radio,ccm_home_mailer,ccm_other,decision_affordable_cost,decision_location,decision_programs,decision_online_offers,decision_family_friend_referral,decision_faculty_staff,decision_reputation,decision_financial_aid,decision_scholarships,decision_class_size,decision_ex_curricular_ops,decision_credit_transfer,decision_other_college,decision_nj_stars,decision_credit_transfer,decision_hs_credits,degree_prog,more_cc_web,more_cc_cyber,more_cc_app_devel,more_cc_data_anal,more_ai,more_cc_program,more_cc_game_design,more_cc_hardware,gender,race_ethnicity,age
42,2022/10/04 4:58:40 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Business Administration,No,No,No,No,No,No,No,No,Man,Black/African American,19-20
43,2022/10/04 6:13:22 PM EST,CMP 101 Computer Information Literacy,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Liberal Arts,No,Yes,No,No,No,Yes,No,No,Woman,Hispanic or Latino,25-34
44,2022/10/04 9:45:01 PM EST,CMP 126 Computer Technology and Applications,Don't recall,Don't recall,Don't recall,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Liberal Arts,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
45,2022/10/05 11:39:36 AM EST,CMP 126 Computer Technology and Applications,Yes,No,No,Yes,Yes,Yes,Don't recall,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Communication,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
46,2022/10/05 3:06:13 PM EST,CMP 135 Computer Concepts with Applications,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,No,Yes,No,No,No,Yes,Yes,No,Man,Asian,21-24
47,2022/10/05 5:07:18 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,No,Yes,No,Yes,No,Yes,No,Yes,Man,White/Caucasian,21-24
48,2022/10/05 5:07:25 PM EST,CMP 101 Computer Information Literacy,Don't recall,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,Nursing,Yes,Yes,Yes,No,Yes,Yes,No,No,Woman,Black/African American,21-24
49,2022/10/05 5:07:57 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,No,Yes,No,No,Yes,No,Man,Black/African American,19-20
50,2022/10/05 5:07:59 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,No,No,No,No,No,No,Woman,White/Caucasian,18 and younger
51,2022/10/05 5:08:31 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,Some Impact,High Impact,High Impact,,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,,High Impact,High Impact,, want to go into radiography ,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino,25-34
52,2022/10/05 5:08:39 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Biology,Yes,No,No,No,Yes,Yes,Yes,Yes,Man,White/Caucasian,19-20
53,2022/10/05 5:08:57 PM EST,CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,,,,High Impact,No Impact,Business Administrative,No,Yes,No,No,Yes,No,No,Yes,Man,White/Caucasian,18 and younger
